_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3213506,324798978,23176367,6,2023-11-06T11:06:00,"1500 Block Creedmoor Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,1918,4,5,-80.01197555016127,40.38874256573439
3213507,324801822,23176416,6,2023-11-06T11:30:00,"2500 Block Allequippa St Pittsburgh, PA 15213",N,West Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,402,6,3,-79.96771373707432,40.44112611443261
3213508,324803758,23176426,14,2023-11-06T05:00:00,"3600 Block Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,CRIM MISCHIEF,3304 Criminal Mischief.,405,3,3,-79.95744380996236,40.44027243912023
3213509,324810483,23176473,0,2023-11-06T14:41:00,"1300 Block Woodland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9994 PFA Service,2715,1,1,-80.03026917178845,40.469230793316164
3213510,324815355,23176499,5,2023-11-02T19:00:00,"Courtright St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,BURGLARY,3502 Burglary.,2715,1,1,-80.03122176111421,40.47559010935904
3213511,324819118,23176555,0,2023-11-06T16:48:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,99,9994 PFA Service,2507,6,1,-80.01656850562077,40.45687440924445
3213512,324838295,23176708,99,2023-11-06T21:10:00,"200 Block Voeghtly St & River Ave Pittsburgh, PA 15212",N,North Shore,1,AIDED CASE,9497 Aided Case,2205,,,,
3213513,324842117,23176743,27,2023-11-07T00:00:00,"Broadway Ave & Coast Ave Pittsburgh, PA 15216",N,Beechview,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 1785 Proof of Financial Responsibility Following Accident.,1916,4,5,-80.02479847303671,40.40866553176616
3213514,324844104,23176737,27,2023-11-06T22:00:00,"200 Block S Craig St Pittsburgh, PA 15213",N,North Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,404,8,3,-79.94921360638956,40.44614648814841
3213515,324182160,23170789,0,2023-10-27T10:11:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9994 PFA Service,305,6,3,-79.97998240539275,40.44358891030736
3213516,324182196,23170802,6,2023-10-27T10:00:00,"7300 Block Tioga St Pittsburgh, PA 15208",N,Homewood South,5,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1303,9,2,-79.89601866630254,40.453474019835525
3213517,324198466,23170974,27,2023-10-27T08:45:00,"6300 Block Marchand St Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,708,8,2,-79.92235926619887,40.45720383333771
3213518,324719657,23175583,18,2023-11-04T18:43:00,"Bennett St & Tokay St Pittsburgh, PA 15221",N,East Hills,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 4524 Windshield Obstructions and Wipers. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals.,1306,9,2,-79.88070585387179,40.45470439378665
3213519,324720900,23175642,27,2023-11-04T20:50:00,"Baum Blvd & Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,804,7,2,-79.93964316707483,40.45663498367191
3213520,324722708,23175690,0,2023-11-04T23:02:00,"Bigelow Blvd & Bloomfield Brg Pittsburgh, PA 15213",Y,Polish Hill,2,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 3802(a)(1) DUI - General Impairment,605,7,6,-79.95790763684636,40.458807116541294
3213521,324722787,23175730,14,2023-11-04T23:30:00,"2100 Block Reed St Pittsburgh, PA 15219",N,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief.,201,,,,
3213522,324723512,23175750,14,2023-11-05T01:34:00,"2300 Block Wrights Way Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1609,3,3,-79.97295109019201,40.42880051485488
3213523,324724303,23175754,10,2023-11-05T01:02:00,"7700 Block Hamilton Ave Pittsburgh, PA 15221",Y,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault.,1304,9,2,-79.88909220258323,40.45256859193237
3213524,324725301,23175738,18,2023-11-05T00:39:00,"N Braddock Ave & Hamilton Ave Pittsburgh, PA 15208",Y,Homewood South,5,STOLEN PROPERTY - OTHER,"13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 3351 Stop, Stand and Park Outside Bus. and Res.  / 3334 Turning Movements and Required Signals.",1303,9,2,-79.89111182926251,40.45317283724237
3213525,324729827,23175834,99,2023-11-05T07:19:00,"300 Block Melwood Ave Pittsburgh, PA 15213",N,North Oakland,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),507,6,3,-79.95075289711669,40.45245458694854
3213526,324202304,23170994,99,2023-10-27T17:50:00,"100 Block 5th Ave Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-80.00287657553382,40.44141412630589
3213527,324691419,23175206,0,2023-11-04T00:23:00,Zone 2,N,,2,99,9999 9999 - (Misc. Incident): Sexual assault,,,,,
3213528,324691439,23175184,4,2023-11-03T23:35:00,"4000 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,AGG-ASSAULT,2702 Aggravated Assault.,903,7,2,-79.95725055025468,40.46282248753833
3213529,324692743,23175260,10,2023-11-04T03:10:00,"100 Block 39th St Pittsburgh, PA 15201",N,Lower Lawrenceville,2,HARRASSMENT,2709(a) Harassment.,603,,,,
3213530,324706640,23175446,6,2023-11-04T13:20:00,"5th Ave & Miltenberger St Pittsburgh, PA 15219",N,Bluff,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,103,6,3,-79.98136877054557,40.43839455588327
3213531,324706635,23175423,27,2023-11-04T11:00:00,"Dawson St & Oakland Way Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,406,3,3,-79.95214668032847,40.43776617954764
3213532,324706788,23175436,6,2023-11-04T12:55:00,"1700 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,203,7,6,-79.98569266344448,40.44966475859352
3213533,324710114,23175461,18,2023-11-04T14:01:00,"300 Block Forbes Ave Pittsburgh, PA 15222",Y,Central Business District,2,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 5505 Public Drunkenness,201,6,6,-80.00076025677991,40.439953419738366
3213534,324721058,23175619,18,2023-11-04T20:11:00,"Kelly St & Durango Way Pittsburgh, PA 15221",Y,Homewood South,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 4524 Windshield Obstructions and Wipers.,1304,9,2,-79.88939114289559,40.453800533092455
3213535,324722528,23175695,0,2023-11-04T23:40:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9994 PFA Service,509,6,3,-79.97427399849045,40.44961434187343
3213536,324218434,23171333,99,2023-10-28T05:43:00,"2300 Block Sarah St Pittsburgh, PA 15203",Y,South Side Flats,3,AIDED CASE,9497 Aided Case / 3736 Reckless Driving,1609,3,3,-79.97302444869672,40.42724144170639
3213537,324865696,23176907,99,2023-11-07T10:05:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,FOUND PROPERTY,9489 Found Property,2507,6,1,-80.01656850562077,40.45687440924445
3213538,324913736,23176649,6,2023-11-06T19:02:00,"5900 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,709,,,,
3213539,324914737,23177061,10,2023-11-07T02:35:00,"1800 Block One Wild Pl Pittsburgh, PA 15206",N,Highland Park,5,HARRASSMENT,2709 Harassment (Non-Specific),1106,,,,
3213540,324934525,23177212,0,2023-11-07T19:21:00,"Liberty Ave & Edmond St Pittsburgh, PA 15224",N,Bloomfield,5,99,9999 9999 - (Misc. Incident): ,802,7,2,-79.94806923760972,40.461135430722514
3213541,324939612,23177202,10,2023-11-07T19:22:00,"1500 Block Rockland Ave Pittsburgh, PA 15216",Y,Central Business District,6,SIMPLE ASSAULT,2701 Simple Assault.,1916,4,5,-80.02036781481688,40.41203819237264
3213542,324204212,23171061,6,2023-10-27T12:45:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,9,2,-79.91743506731456,40.45751349471281
3213543,324209307,23171114,9,2023-10-27T21:26:00,"Cedar Ave & Pressley St Pittsburgh, PA 15212",Y,Allegheny Center,1,TAMPER WITH/FAB PHYS EVIDENCE,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,2204,1,1,-80.00114903409869,40.4516250109702
3213544,324210636,23171153,14,2023-10-27T22:43:00,"Blvd Of The Allies & Parkview Ave Pittsburgh, PA 15213",Y,Central Oakland,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 903 Criminal Conspiracy. / 907 Possessing Instruments of Crime.",406,3,3,-79.95221619540119,40.43425360298497
3213545,324211866,23171182,10,2023-10-27T23:08:00,"4900 Block Baum Blvd Pittsburgh, PA 15213",N,Bloomfield,5,HARRASSMENT,2709(a) Harassment.,804,7,2,-79.94652203732653,40.45431575916028
3213546,324213604,23171240,10,2023-10-28T01:30:00,"5300 Block Natrona Way Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,SIMPLE ASSAULT,2701 Simple Assault.,1011,,,,
3213547,324215181,23171315,99,2023-10-28T03:08:00,"8000 Block Bennett St Pittsburgh, PA 15221",Y,East Hills,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1306,9,2,-79.8841190303238,40.45393259937531
3213548,324216542,23170978,27,2023-10-27T17:07:00,"Friendship Ave & Edmond St Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,809,7,2,-79.94773997309643,40.46286583381169
3213549,324216965,23171137,99,2023-10-27T22:20:00,"1100 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,7,6,-79.9923774443368,40.44416294450934
3213550,324235725,23171536,0,2023-10-28T14:56:00,"5800 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,99,9994 PFA Service,1403,8,3,-79.92333664685833,40.44142299875309
3213551,324243947,23171710,99,2023-10-28T20:59:00,"1200 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,FOUND DRUGS,9017 Found Drugs,203,7,6,-79.99295572113269,40.446374452160406
3213552,324248747,23171851,14,2023-10-29T01:24:00,"4300 Block Murray Ave Pittsburgh, PA 15217",N,Greenfield,4,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1517,5,3,-79.92906146201615,40.42177863332509
3213553,324248848,23171818,24,2023-10-29T00:45:00,"50 Block 11th St Pittsburgh, PA 15222",Y,Central Business District,2,DISORDERLY CONDUCT,5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,201,3,3,-79.98767553769906,40.42896749627302
3213554,324156746,23170683,6,2023-10-27T07:30:00,"1500 Block Termon Ave Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2701,1,1,-80.03844668906889,40.48275148803192
3213555,-3724000269,23170713,6,2023-10-27T08:58:00,"200 Block Carnegie Pl Pittsburgh, PA 15208",N,Point Breeze,4,THEFT FROM AUTO,3934 Theft from Vehicle,1406,9,3,-79.89883207175076,40.447230344973846
3213556,324731737,23175860,27,2023-11-05T01:00:00,"700 Block Casino Dr Pittsburgh, PA 15233",N,Chateau,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2108,,,,
3213557,324732203,23175878,11,2023-11-05T05:15:00,"3700 Block Brighton Rd Pittsburgh, PA 15212",N,Brighton Heights,1,CREDIT CARDS,4106 Access Device Fraud,2708,1,1,-80.03519808011238,40.48325452805599
3213558,-3545226534,23175931,14,2023-11-05T10:00:00,"2300 Block Sidney St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1609,3,3,-79.97291060170967,40.42923515849184
3213559,324737280,23175910,6,2023-11-05T11:28:00,"5400 Block Walnut St Pittsburgh, PA 15232",N,Shadyside,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,703,8,2,-79.93546843810113,40.450646430444735
3213560,324737384,23175898,18,2023-11-05T11:53:00,"100 Block Hazlett St Pittsburgh, PA 15214",Y,Northview Heights,1,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,2609,1,1,-80.00164753718514,40.477122093250784
3213561,324745936,23175987,10,2023-11-05T15:24:00,"1800 Block Bedford Ave Pittsburgh, PA 15219",Y,Crawford-Roberts,2,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,305,,,,
3213562,324747571,23176033,0,2023-11-05T17:21:00,"Stadium St & Stafford St Pittsburgh, PA 15204",Y,Sheraden,6,99,3213 Prohibited Acts.,2018,2,5,-80.05516722261206,40.46073457644915
3213563,324748308,23176049,0,2023-11-05T17:31:00,"2300 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,99,9093 Indirect Criminal Contempt,2902,4,3,-79.98552317166529,40.389057269279455
3213564,324749972,23175124,99,2023-10-30T13:31:00,"70 Block Knox Ave Pittsburgh, PA 15210",N,Knoxville,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,3001,3,5,-79.99067868188708,40.41416905821807
3213565,324210361,23171160,99,2023-10-27T22:58:00,"1200 Block Murray Hill Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1402,8,3,-79.92606636067131,40.44623977641183
3213566,324212004,23171256,99,2023-10-28T01:50:00,"5600 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,FOUND PROPERTY,9489 Found Property,1403,8,3,-79.9275329272116,40.440734216567016
3213567,324231841,23171455,6,2023-10-28T11:45:00,"5800 Block Walnut St Pittsburgh, PA 15232",Y,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,705,8,2,-79.92858422760709,40.4526881565662
3213568,324234909,23171520,11,2023-10-28T12:45:00,"1100 Block Fairfield St Pittsburgh, PA 15201",N,Stanton Heights,5,CREDIT CARDS,4106 Access Device Fraud,1018,7,2,-79.93914512973083,40.48454842778783
3213569,324239820,23171569,0,2023-10-28T16:00:00,"600 Block Pressley St Pittsburgh, PA 15212",Y,East Allegheny,1,99,9093 Indirect Criminal Contempt,2304,1,1,-79.99867967214155,40.45221882271537
3213570,324241872,23171631,6,2023-10-28T19:10:00,"1000 Block Harker St Pittsburgh, PA 15220",Y,Elliott,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,2020,2,5,-80.0432214603312,40.44249792644841
3213571,324724292,23175733,99,2023-11-05T00:45:00,"200 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1702,,,,
3213572,324725617,23175806,6,2023-11-05T03:21:00,"400 Block Forbes Ave Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,8,3,-79.9525636026632,40.44289648145832
3213573,324737594,23175918,4,2023-11-05T11:55:00,"1000 Block Western Ave Pittsburgh, PA 15233",Y,Chateau,1,AGG-ASSAULT,2702 Aggravated Assault. / 2701 Simple Assault. / 3304 Criminal Mischief. / 5503 Disorderly Conduct.,2108,6,1,-80.01893797512486,40.45152717945607
3213574,324743514,23175997,99,2023-11-05T15:11:00,"900 Block E Warrington Ave Pittsburgh, PA 15210",Y,Allentown,3,MENTAL 201/302,9498 302 (Mental),1803,3,5,-79.99037529014606,40.421801490322046
3213575,324748035,23175998,5,2023-11-05T15:49:00,"1400 Block Sheffield St Pittsburgh, PA 15233",Y,Manchester,1,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief. / 5503 Disorderly Conduct.,2107,6,1,-80.02606510505758,40.45310468603563
3213576,324753835,23176136,6,2023-11-05T20:45:00,"4600 Block Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,901,7,2,-79.95807260605908,40.473109003192576
3213577,324759250,23176180,10,2023-11-05T23:39:00,"60 Block Amanda Ave Pittsburgh, PA 15210",Y,Allentown,3,SIMPLE ASSAULT,2701 Simple Assault.,1803,,,,
3213578,324761767,23176224,0,2023-11-06T02:45:00,"2100 Block Holyoke St Pittsburgh, PA 15214",N,Perry South,1,99,8106 Shots Fired,2614,6,1,-80.01476265921296,40.46327261147608
3213579,324221495,23171357,6,2023-10-28T07:52:00,"200 Block 5th Ave Pittsburgh, PA 15222",N,Central Business District,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",201,6,6,-80.00207710815553,40.44123639882767
3213580,324222519,23171374,6,2023-10-28T08:40:00,"100 Block Washington Pl Pittsburgh, PA ",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,201,,,,
3213581,324223647,23171389,6,2023-10-28T08:40:00,"100 Block Washington Pl Pittsburgh, PA ",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,201,,,,
3213582,324232235,23171411,6,2023-10-28T08:35:00,"300 Block 4th Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,201,6,6,-80.00121018299862,40.43923465592203
3213583,324233172,23171471,6,2023-10-28T12:00:00,"5600 Block Darlington Rd Pittsburgh, PA 15217",Y,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1413,5,3,-79.92729356854277,40.436636185707975
3213584,-3523004617,23171508,99,2023-10-28T12:15:00,"2200 Block Webster Ave Pittsburgh, PA 15219",N,Middle Hill,2,LOST PROPERTY,9504 Lost Property,501,6,3,-79.97786699256748,40.44735455758375
3213585,324235373,23171504,6,2023-10-28T12:00:00,"6800 Block Thomas St Pittsburgh, PA 15208",N,Point Breeze North,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1405,9,2,-79.90902332259917,40.45373175632804
3213586,324236061,23171489,0,2023-10-28T02:00:00,"3300 Block Forbes Ave Pittsburgh, PA 15213",N,South Oakland,4,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Landlord tenant dispute / 9999 9999 - (Misc. Incident): Trespassing warning,409,3,3,-79.96308127263389,40.437129458761135
3213587,324238053,23170980,24,2023-10-27T17:05:00,"900 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,DISORDERLY CONDUCT,5503 Disorderly Conduct.,1201,9,2,-79.89235294507522,40.48611850156562
3213588,324954537,23177414,14,2023-11-08T07:00:00,"2800 Block Jane St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1609,3,3,-79.9672359513962,40.42480704835018
3213589,324962941,23177419,6,2023-11-08T07:35:00,"2800 Block Jane St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,"3934 Theft from Vehicle / 3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1609,3,3,-79.9672359513962,40.42480704835018
3213590,324964788,23177457,11,2023-11-07T13:00:00,"4100 Block CASSABILL Dr PITTSBURGH, PA 15120",N,New Homestead,4,IDENTITY THEFT,4120 Identity Theft,3103,,,,
3213591,-3712002589,23177444,10,2023-11-08T08:29:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115,8,2,-79.92259331496999,40.46013933681722
3213592,324965138,23177459,0,2023-11-08T08:45:00,"Saw Mill Run Blvd & Overbrook Blvd Pittsburgh, PA 15210",N,Overbrook,3,99,3714 Careless Driving,3204,4,5,-79.9949146280122,40.385026050855195
3213593,324965379,23177449,6,2023-11-07T17:45:00,"9th St & Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-79.99834797103081,40.44375079055259
3213594,324967686,23177489,6,2023-11-08T08:00:00,"1800 Block Winhurst St Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2701,1,1,-80.04364343952513,40.48879632117981
3213595,324968177,23177470,29,2023-11-08T09:30:00,"2300 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2614,6,1,-80.01109363130425,40.46630934434338
3213596,324974192,23177504,14,2023-11-08T05:00:00,"4000 Block Vinceton St Pittsburgh, PA 15214",N,Perry North,1,CRIM MISCHIEF,3304 Criminal Mischief.,2602,1,1,-80.02273330391515,40.49048345254006
3213597,324977816,23177496,14,2023-11-08T09:30:00,"2500 Block Larkins Way Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1609,3,3,-79.97038111303263,40.42655072086149
3213598,324979765,23006465,13,2023-11-08T11:00:00,"1st Ave & Blvd Of The Allies Pittsburgh, PA 15222",Y,Central Business District,2,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property.,201,6,6,-79.99875614377409,40.43723578367687
3213599,324980632,23150646,18,2023-11-08T11:00:00,"1st Ave & Blvd Of The Allies Pittsburgh, PA 15222",Y,Central Business District,2,STOLEN PROPERTY - OTHER,"13(a)(16) Possession of Controlled Substance / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 9501 Bench Warrant / 3112 Traffic-Control Signals. / 3733 Fleeing or Attempting to Elude Police Officer",201,6,6,-79.99875614377409,40.43723578367687
3213600,324249540,23171813,0,2023-10-29T00:57:00,"1300 Block Oakridge St Pittsburgh, PA 15226",Y,Brookline,6,99,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1918,4,5,-80.01050122749665,40.391395110977186
3213601,324252043,23171956,13,2023-10-29T06:00:00,"Lemington Ave & Grotto St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked.,1202,9,2,-79.89567165044507,40.46826636118705
3213602,324263516,23172091,14,2023-10-29T08:00:00,"200 Block Watson Blvd Pittsburgh, PA 15214",Y,Perry North,1,CRIM MISCHIEF,3304 Criminal Mischief.,2607,4,5,-79.99460112163702,40.39290226834383
3213603,324265182,23172135,6,2023-10-29T14:30:00,"Ella St & Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,802,7,2,-79.95181541495799,40.463153718253245
3213604,324265712,23172102,6,2023-10-29T13:19:00,"7100 Block Tilden St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1202,9,2,-79.89493482037162,40.464849952137456
3213605,324274086,23172309,29,2023-10-29T21:21:00,"7300 Block Fleury Way Pittsburgh, PA 15208",N,Homewood South,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1303,9,2,-79.89465673867832,40.455498219882784
3213606,324283679,23172373,6,2023-10-30T00:19:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud",201,6,6,-79.99793948033764,40.44294530587832
3213607,324188598,23170742,6,2023-10-27T09:50:00,"4700 Block Plummer St Pittsburgh, PA 15201",N,Central Lawrenceville,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 901 Criminal Attempt,901,,,,
3213608,324216871,23171323,99,2023-10-28T04:47:00,"Penn Ave & 22nd St Pittsburgh, PA 15222",Y,Strip District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3808(a)1 Ignition Interlock Required / 3367 Racing on Highways. / 3736 Reckless Driving,203,7,6,-79.98228525676222,40.452271653138084
3213609,324225391,23171399,6,2023-10-28T10:15:00,"7100 Block Penn Ave Pittsburgh, PA 15208",N,Point Breeze North,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1405,9,3,-79.90373620545512,40.44998721043976
3213610,324763925,23176259,0,2023-11-06T05:55:00,"2100 Block Los Angeles Ave Pittsburgh, PA 15216",N,Beechview,6,99,9998 Overdose Other,1920,4,5,-80.02896082013702,40.40513929124317
3213611,324766479,23176258,14,2023-11-06T05:30:00,"90 Block S 19th St Pittsburgh, PA 15203",Y,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief. / 5506 Loitering and Prowling at Night / 3503(a) Criminal Trespass,1702,3,3,-79.97913589157791,40.428811895033164
3213612,324776523,23176273,17,2023-11-06T00:20:00,Zone 2,N,,2,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
3213613,324779135,23176293,6,2023-11-06T08:39:00,"Fort Pitt Blvd & Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-80.00106682674647,40.43650707575871
3213614,324779673,23176301,5,2023-11-01T12:00:00,"200 Block Flowers Ave Pittsburgh, PA 15207",N,Hazelwood,4,BURGLARY,3502 Burglary.,1515,5,3,-79.94227153612842,40.41015669622033
3213615,-3714003556,23176302,14,2023-11-06T08:00:00,"2400 Block Saw Mill Run Blvd Pittsburgh, PA 15227",N,Overbrook,3,CRIM MISCHIEF,3304 Criminal Mischief.,3204,4,5,-79.99515150580775,40.38516567964777
3213616,324784194,23176307,14,2023-11-06T08:45:00,"1600 Block Denniston St Pittsburgh, PA 15217",Y,Squirrel Hill North,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1403,5,3,-79.91836026017552,40.44032430983206
